,date,tic,open,high,low,close,volume,day,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma,vix,turbulence
55,2022-09-22,vic.vn,62500.0,63300.0,58700.0,63300.0,1240000.0,3.0,-782.2988946310434,65448.83468435844,62041.16531564156,41.32762182843197,-143.41583328677547,33.05091527979395,64610.0,66475.0,27.350000381469727,0.08398609150826876
56,2022-09-23,vic.vn,63000.0,63300.0,62000.0,62600.0,324200.0,4.0,-799.0605008853017,65315.97933434352,61944.02066565648,39.98087191997995,-93.25720500271879,33.050915279793934,64536.666666666664,66295.0,29.920000076293945,0.36305012358829386
57,2022-09-26,vic.vn,61800.0,62600.0,61600.0,62000.0,1200000.0,0.0,-850.9499587667233,64903.654952146746,61966.345047853254,38.85806726922042,-114.17004048582997,34.417825811795886,64410.0,66103.33333333333,32.2599983215332,0.26375901405669533
58,2022-09-27,vic.vn,62100.0,62200.0,60800.0,61000.0,639100.0,1.0,-961.6787367790457,64884.59325131413,61585.40674868587,37.063458087244136,-140.67669975450968,37.075891852816156,64236.666666666664,65910.0,32.599998474121094,0.8529112070779181
59,2022-09-28,vic.vn,60100.0,60800.0,57500.0,57500.0,1140000.0,2.0,-1316.6750302442088,65967.38114344756,59892.618856552435,31.753704261406654,-247.75876120619424,46.354092547324065,63940.0,65656.66666666667,30.18000030517578,12.259566714369097
60,2022-09-29,vic.vn,57700.0,58200.0,54300.0,54600.0,1700000.0,3.0,-1811.1402170873553,67264.00844921391,57695.991550786086,28.280938600655034,-328.29324169530366,53.26656886823952,63563.333333333336,65361.666666666664,31.84000015258789,8.884919584761185
61,2022-09-30,vic.vn,53300.0,56400.0,53300.0,55000.0,1720000.0,4.0,-2145.99311028824,67837.72683721333,56252.273162786674,29.382924558860495,-304.5802454136796,55.13541685061366,63153.333333333336,65153.333333333336,31.6200008392334,0.30999488665325836
62,2022-10-03,vic.vn,54900.0,55500.0,53000.0,55500.0,1450000.0,0.0,-2344.0004413112983,68023.81465263547,55216.18534736453,30.758676374245482,-264.05912040374886,55.68538532731524,62733.333333333336,64915.0,30.100000381469727,0.43470796422622454
63,2022-10-04,vic.vn,56000.0,57000.0,54600.0,57000.0,1300000.0,1.0,-2352.764014718974,67975.11402096527,54634.885979034734,34.70638930339814,-182.23234624145792,46.4026421338174,62370.0,64698.333333333336,29.06999969482422,3.036231684943716
64,2022-10-05,vic.vn,57500.0,60900.0,57000.0,60000.0,1330000.0,2.0,-2093.5016974205064,67849.52219546764,54510.47780453237,41.595735574643236,-82.0576209945802,26.168851795446855,62170.0,64531.666666666664,28.549999237060547,10.692257561373879
65,2022-10-06,vic.vn,59800.0,62000.0,58100.0,60100.0,1010000.0,3.0,-1858.5411730707565,67674.96321332314,54405.036786676865,41.80746275969801,-54.62276834568364,21.27824691893313,62006.666666666664,64368.333333333336,30.520000457763672,0.031127190923110462
66,2022-10-07,vic.vn,60500.0,60700.0,58300.0,60200.0,2990000.0,4.0,-1645.2981278044754,67280.49161733502,54379.50838266498,42.024881495828154,-58.135226921889156,21.27824691893314,61850.0,64213.333333333336,31.360000610351562,0.029943882272949304
67,2022-10-10,vic.vn,60200.0,60900.0,57700.0,60200.0,1240000.0,0.0,-1459.4775296294247,66918.92045699812,54361.07954300188,42.024881495828154,-56.02335586969861,23.020026762467676,61660.0,64058.333333333336,32.45000076293945,0.005711584425273367
68,2022-10-11,vic.vn,58300.0,60100.0,56700.0,60000.0,2190000.0,1.0,-1313.2137842828306,66502.43681250417,54367.563187495834,41.69149069923257,-67.91269672156108,25.848740766403584,61493.333333333336,63898.333333333336,33.630001068115234,0.014043640702660686
69,2022-10-12,vic.vn,60000.0,60200.0,58300.0,60000.0,1710000.0,2.0,-1183.654282552212,66171.02725144268,54358.972748557324,41.69149069923257,-48.17967759463874,25.372160941837095,61373.333333333336,63765.0,33.56999969482422,0.006225677729827183
70,2022-10-13,vic.vn,58700.0,61000.0,58200.0,60400.0,1250000.0,3.0,-1036.7497808253465,65744.58360885401,54435.41639114599,42.66500734073337,-34.9013197723697,21.562386703898966,61266.666666666664,63625.0,31.940000534057617,0.2226282843618752
71,2022-10-14,vic.vn,60500.0,60500.0,58400.0,59700.0,779400.0,4.0,-965.679304762125,65490.85305992009,54409.14694007991,41.41327262209974,-40.1177769598821,21.562386703898966,61133.333333333336,63483.333333333336,32.02000045776367,0.3734124347101571
72,2022-10-17,vic.vn,58600.0,59000.0,56000.0,56000.0,738700.0,0.0,-1194.149110641236,65231.05779528052,53978.94220471948,35.68807437463035,-101.74102285092492,28.534469259995344,60866.666666666664,63275.0,31.3700008392334,12.90794626487995
73,2022-10-18,vic.vn,56500.0,58600.0,56500.0,58400.0,606100.0,1.0,-1168.088142476532,64598.41632052395,54061.58367947605,41.14751972761204,-73.80844303222881,28.53446925999532,60703.333333333336,63140.0,30.5,6.637024203171752
74,2022-10-19,vic.vn,58500.0,58700.0,56500.0,58500.0,826400.0,2.0,-1126.381251265142,64068.532558967614,54131.467441032386,41.362079148283016,-67.489114658926,28.02704044148489,60570.0,62993.333333333336,30.760000228881836,0.0328508439105039
