date,ensemble,dji
2024-02-06,1076501413.1000004,1245020562.617322
2024-02-07,1080666773.1000004,1243264035.6856146
2024-02-15,1076767043.1000004,1247304788.5671911
2024-02-16,1087292388.1000004,1230438387.6547062
2024-02-19,1098052483.1000004,1235309619.7383544
2024-02-20,1100097283.1000004,1246524919.2423966
2024-02-21,1103687003.1000004,1241859015.0727642
2024-02-22,1098051688.1000004,1239795438.1411984
2024-02-23,1085371468.1000004,1241352665.134347
2024-02-26,1104746533.1000004,1256040706.4159322
2024-02-27,1106526273.1000004,1258047519.9119415
2024-02-28,1111970968.1000004,1256044599.4834151
2024-02-29,1112205558.1000004,1252931903.6566265
2024-03-01,1124140158.1000004,1252179913.718322
2024-03-04,1127784553.1000004,1253702856.601057
2024-03-05,1123668888.1000004,1256628057.2745576
2024-03-06,1114413288.1000004,1253491877.4600496
2024-03-07,1129117828.1000004,1240483129.6746244
2024-03-08,1116572138.1000004,1242921948.0784101
2024-03-11,1114216658.1000004,1247111014.2728016
2024-03-12,1125871223.1000004,1244903645.0100138
2024-03-13,1165125618.1000004,1246413652.8620796
2024-03-14,1170334418.1000004,1253995338.9935606
2024-03-15,1154638123.1000004,1255211608.6249025
2024-03-18,1143012083.1000004,1250785944.39381
2024-03-19,1141016173.1000004,1244648963.0469406
2024-03-20,1156300273.1000004,1247081376.726803
2024-03-21,1168864173.1000004,1257379796.0472178
2024-03-22,1159707903.1000006,1270283431.0106058
2024-03-25,1154424080.9000006,1278939352.601715
2024-03-26,1163242234.0500004,1269118650.336295
