Date,Price,Open,High,Low,Vol.,Change %
07/21/2016,"12,464.80","12,464.80","12,605.70","12,394.40",2.14M,0.00%
07/20/2016,"12,464.80","12,676.10","12,746.50","12,464.80",1.71M,-1.67%
07/19/2016,"12,676.10","13,098.60","13,098.60","12,535.20",3.47M,-3.23%
07/18/2016,"13,098.60","12,887.30","13,169.00","12,746.50",2.62M,0.54%
07/15/2016,"13,028.20","13,028.20","13,098.60","12,887.30",1.41M,-0.54%
07/14/2016,"13,098.60","13,098.60","13,450.70","13,098.60",5.43M,0.54%
07/13/2016,"13,028.20","12,535.20","13,169.00","12,535.20",5.44M,3.93%
07/12/2016,"12,535.20","12,605.70","12,605.70","12,394.40",864.85K,0.00%
07/11/2016,"12,535.20","12,535.20","12,746.50","12,324.00",2.53M,0.00%
07/08/2016,"12,535.20","12,605.70","12,605.70","12,183.10",1.59M,-0.56%
07/07/2016,"12,605.70","12,535.20","12,605.70","12,464.80",757.25K,0.00%
07/06/2016,"12,605.70","12,535.20","12,605.70","12,464.80",752.41K,-0.56%
07/05/2016,"12,676.10","12,324.00","12,816.90","12,253.50",2.60M,2.86%
07/04/2016,"12,324.00","12,253.50","12,324.00","12,042.30",1.96M,0.58%
07/01/2016,"12,253.50","12,253.50","12,394.40","12,183.10",991.68K,-0.57%
06/30/2016,"12,324.00","12,394.40","12,464.80","12,253.50",804.39K,-0.57%
06/29/2016,"12,394.40","12,324.00","12,535.20","12,253.50",1.36M,0.57%
06/28/2016,"12,324.00","12,324.00","12,324.00","12,112.70",442.36K,0.00%
06/27/2016,"12,324.00","12,183.10","12,324.00","12,042.30",1.01M,-1.13%
06/24/2016,"12,464.80","12,605.70","12,605.70","11,901.40",2.44M,-1.67%
06/23/2016,"12,676.10","12,605.70","12,746.50","12,535.20",961.51K,0.56%
06/22/2016,"12,605.70","12,676.10","12,676.10","12,535.20",466.97K,-0.56%
06/21/2016,"12,676.10","12,816.90","12,816.90","12,605.70",724.20K,0.00%
06/20/2016,"12,676.10","12,605.70","12,676.10","12,535.20",749.56K,0.00%
06/17/2016,"12,676.10","12,676.10","12,746.50","12,464.80",1.21M,0.00%
06/16/2016,"12,676.10","12,816.90","12,887.30","12,676.10",1.03M,-0.55%
06/15/2016,"12,746.50","12,676.10","12,887.30","12,676.10",1.09M,0.00%
06/14/2016,"12,746.50","12,746.50","12,887.30","12,676.10",1.40M,-1.09%
06/13/2016,"12,887.30","13,028.20","13,098.60","12,816.90",1.12M,-1.61%
06/10/2016,"13,098.60","13,169.00","13,380.30","13,098.60",4.95M,-1.06%
06/09/2016,"13,239.50","12,887.30","13,309.90","12,816.90",3.70M,2.73%
06/08/2016,"12,887.30","12,676.10","13,028.20","12,676.10",2.14M,1.10%
06/07/2016,"12,746.50","12,887.30","12,887.30","12,676.10",1.45M,-0.55%
06/06/2016,"12,816.90","12,887.30","12,887.30","12,676.10",1.36M,-0.55%
06/03/2016,"12,887.30","13,028.20","13,098.60","12,887.30",1.40M,-1.08%
06/02/2016,"13,028.20","12,887.30","13,028.20","12,816.90",1.05M,1.09%
06/01/2016,"12,887.30","12,676.10","12,957.80","12,676.10",1.30M,0.55%
05/31/2016,"12,816.90","12,816.90","12,957.80","12,746.50",2.28M,0.55%
05/30/2016,"12,746.50","12,535.20","12,816.90","12,464.80",831.75K,1.69%
05/27/2016,"12,535.20","12,324.00","12,535.20","12,183.10",1.84M,1.71%
05/26/2016,"12,324.00","12,535.20","12,605.70","12,253.50",2.02M,-2.23%
05/25/2016,"12,605.70","12,676.10","12,816.90","12,605.70",1.18M,0.00%
05/24/2016,"12,605.70","12,605.70","12,746.50","12,464.80",2.07M,0.00%
05/23/2016,"12,605.70","12,887.30","12,957.80","12,605.70",1.92M,-2.19%
05/20/2016,"12,887.30","13,098.60","13,239.50","12,816.90",2.49M,-1.61%
05/19/2016,"13,098.60","13,309.90","13,380.30","13,098.60",1.22M,-2.11%
05/18/2016,"13,380.30","13,380.30","13,591.60","13,309.90",2.50M,0.00%
05/17/2016,"13,380.30","13,239.50","13,521.10","13,169.00",4.04M,2.15%
05/16/2016,"13,098.60","13,098.60","13,239.50","13,028.20",1.98M,-0.53%
05/13/2016,"13,169.00","13,098.60","13,309.90","13,028.20",3.90M,0.00%
05/12/2016,"13,169.00","13,169.00","13,169.00","12,957.80",2.70M,0.54%
05/11/2016,"13,098.60","13,028.20","13,169.00","12,957.80",3.93M,1.64%
05/10/2016,"12,887.30","12,464.80","13,028.20","12,324.00",4.67M,2.81%
05/09/2016,"12,535.20","12,816.90","12,957.80","12,464.80",2.66M,-1.66%
05/06/2016,"12,746.50","12,464.80","12,957.80","12,464.80",5.49M,2.26%
05/05/2016,"12,464.80","12,112.70","12,676.10","12,112.70",3.82M,2.31%
05/04/2016,"12,183.10","12,183.10","12,464.80","11,971.80",1.79M,-1.14%
04/29/2016,"12,324.00","11,619.70","12,324.00","11,619.70",3.82M,6.06%
04/28/2016,"11,619.70","11,971.80","12,042.30","11,619.70",1.09M,-2.94%
04/27/2016,"11,971.80","12,253.50","12,253.50","11,831.00",1.54M,-1.73%
04/26/2016,"12,183.10","12,324.00","12,324.00","12,042.30",1.20M,-1.14%
04/25/2016,"12,324.00","12,324.00","12,676.10","12,324.00",4.97M,2.94%
04/22/2016,"11,971.80","11,126.80","11,971.80","11,056.40",3.54M,6.92%
04/21/2016,"11,197.20","11,126.80","11,197.20","10,985.90",1.07M,1.27%
04/20/2016,"11,056.40","11,056.40","11,197.20","10,985.90",1.34M,0.64%
04/19/2016,"10,985.90","11,197.20","11,197.20","10,985.90",1.38M,-2.50%
04/15/2016,"11,267.60","11,408.50","11,408.50","11,197.20",882.10K,0.63%
04/14/2016,"11,197.20","11,126.80","11,478.90","11,056.40",2.07M,0.63%
04/13/2016,"11,126.80","11,267.60","11,338.00","10,915.50",2.62M,-2.47%
04/12/2016,"11,408.50","11,619.70","11,690.20","11,338.00",1.93M,-2.99%
04/11/2016,"11,760.60","11,831.00","11,901.40","11,619.70",1.65M,-0.60%
04/08/2016,"11,831.00","11,901.40","11,901.40","11,831.00",326.79K,-0.59%
04/07/2016,"11,901.40","11,971.80","11,971.80","11,831.00",569.73K,0.00%
04/06/2016,"11,901.40","11,690.20","11,901.40","11,690.20",1.51M,1.81%
04/05/2016,"11,690.20","11,619.70","11,760.60","11,619.70",550.08K,0.61%
04/04/2016,"11,619.70","11,690.20","11,971.80","11,619.70",962.12K,-0.60%
04/01/2016,"11,690.20","11,831.00","11,971.80","11,690.20",1.49M,-0.60%
03/31/2016,"11,760.60","12,042.30","12,112.70","11,760.60",967.71K,-1.18%
03/30/2016,"11,901.40","11,901.40","11,971.80","11,760.60",1.04M,0.00%
03/29/2016,"11,901.40","11,971.80","12,112.70","11,901.40",877.67K,-1.74%
03/28/2016,"12,112.70","12,253.50","12,253.50","12,042.30",729.87K,-0.58%
03/25/2016,"12,183.10","12,112.70","12,183.10","11,901.40",1.85M,0.58%
03/24/2016,"12,112.70","12,324.00","12,324.00","12,112.70",1.19M,-2.27%
03/23/2016,"12,394.40","12,183.10","12,394.40","12,183.10",1.25M,1.73%
03/22/2016,"12,183.10","12,394.40","12,394.40","12,183.10",1.65M,-1.70%
03/21/2016,"12,394.40","12,464.80","12,605.70","12,394.40",1.84M,0.00%
03/18/2016,"12,394.40","12,464.80","12,464.80","12,183.10",1.20M,-0.56%
03/17/2016,"12,464.80","12,535.20","12,605.70","12,464.80",1.22M,0.00%
03/16/2016,"12,464.80","12,324.00","12,535.20","12,253.50",1.76M,1.14%
03/15/2016,"12,324.00","12,464.80","12,464.80","12,253.50",1.52M,-1.13%
03/14/2016,"12,464.80","12,535.20","12,605.70","12,394.40",1.22M,0.00%
03/11/2016,"12,464.80","12,605.70","12,676.10","12,464.80",1.63M,0.00%
03/10/2016,"12,464.80","12,394.40","12,464.80","12,253.50",1.20M,1.72%
03/09/2016,"12,253.50","12,535.20","12,605.70","12,183.10",1.56M,-2.25%
03/08/2016,"12,535.20","12,605.70","12,676.10","12,464.80",1.87M,-0.56%
03/07/2016,"12,605.70","12,816.90","12,816.90","12,605.70",2.16M,-1.10%
03/04/2016,"12,746.50","12,816.90","12,887.30","12,746.50",1.48M,-0.55%
03/03/2016,"12,816.90","12,887.30","12,957.80","12,676.10",1.60M,-0.55%
03/02/2016,"12,887.30","12,676.10","12,887.30","12,605.70",2.28M,3.39%
03/01/2016,"12,464.80","12,464.80","12,746.50","12,464.80",2.35M,0.00%
02/29/2016,"12,464.80","12,816.90","12,887.30","12,464.80",3.12M,-3.80%
02/26/2016,"12,957.80","13,028.20","13,169.00","12,816.90",2.28M,0.55%
02/25/2016,"12,887.30","13,098.60","13,380.30","12,746.50",4.11M,1.10%
02/24/2016,"12,746.50","11,901.40","12,746.50","11,831.00",7.27M,6.47%
02/23/2016,"11,971.80","12,183.10","12,253.50","11,901.40",2.35M,-1.16%
02/22/2016,"12,112.70","11,760.60","12,112.70","11,690.20",2.83M,4.24%
02/19/2016,"11,619.70","11,408.50","11,760.60","11,338.00",2.07M,2.48%
02/18/2016,"11,338.00","11,408.50","11,549.30","11,338.00",1.61M,0.62%
02/17/2016,"11,267.60","11,478.90","11,478.90","11,267.60",1.90M,-1.84%
02/16/2016,"11,478.90","11,619.70","11,619.70","11,408.50",982.57K,-0.61%
02/15/2016,"11,549.30","11,478.90","11,619.70","11,338.00",569.60K,0.00%
02/05/2016,"11,549.30","11,408.50","11,549.30","11,338.00",617.22K,1.23%
02/04/2016,"11,408.50","11,619.70","11,690.20","11,408.50",1.38M,-1.22%
02/03/2016,"11,549.30","11,338.00","11,549.30","11,267.60",903.90K,1.23%
02/02/2016,"11,408.50","11,478.90","11,831.00","11,267.60",1.04M,-0.61%
02/01/2016,"11,478.90","11,619.70","11,901.40","11,478.90",2.05M,-2.98%
01/29/2016,"11,831.00","11,619.70","11,901.40","11,549.30",2.22M,1.82%
01/28/2016,"11,619.70","12,324.00","12,324.00","11,619.70",2.33M,-4.07%
01/27/2016,"12,112.70","11,619.70","12,183.10","11,549.30",2.91M,4.24%
01/26/2016,"11,619.70","11,478.90","11,831.00","10,915.50",3.37M,3.12%
01/25/2016,"11,267.60","10,985.90","11,267.60","10,915.50",2.47M,6.67%
01/22/2016,"10,563.40","11,126.80","11,197.20","10,352.10",6.76M,-5.06%
01/21/2016,"11,126.80","11,831.00","11,901.40","11,126.80",3.40M,-6.51%
01/20/2016,"11,901.40","12,042.30","12,042.30","11,831.00",956.00K,-1.17%
01/19/2016,"12,042.30","11,690.20","12,112.70","11,690.20",2.02M,3.01%
01/18/2016,"11,690.20","12,253.50","12,253.50","11,690.20",4.61M,-6.74%
01/15/2016,"12,535.20","13,028.20","13,239.50","12,535.20",1.68M,-3.78%
01/14/2016,"13,028.20","13,239.50","13,309.90","12,957.80",1.40M,-2.63%
01/13/2016,"13,380.30","13,662.00","13,732.40","13,309.90",664.74K,-1.55%
01/12/2016,"13,591.60","13,380.30","13,591.60","13,380.30",774.28K,1.58%
01/11/2016,"13,380.30","13,380.30","13,591.60","13,309.90",1.14M,1.06%
01/08/2016,"13,239.50","13,591.60","13,591.60","12,887.30",1.53M,-2.59%
01/07/2016,"13,591.60","14,154.90","14,225.40","13,380.30",3.25M,-4.46%
01/06/2016,"14,225.40","14,084.50","14,295.80","14,084.50",1.13M,0.50%
01/05/2016,"14,154.90","14,225.40","14,366.20","14,084.50",1.39M,-0.50%
01/04/2016,"14,225.40","14,647.90","14,647.90","14,225.40",1.28M,-1.94%
12/31/2015,"14,507.10","14,577.50","14,718.30","14,436.60",1.26M,-0.96%
12/30/2015,"14,647.90","14,577.50","14,859.20","14,577.50",1.56M,0.48%
12/29/2015,"14,577.50","14,295.80","14,577.50","14,154.90",1.23M,2.48%
12/28/2015,"14,225.40","14,366.20","14,436.60","14,084.50",1.97M,-0.98%
12/25/2015,"14,366.20","14,436.60","14,647.90","14,366.20",1.48M,-0.49%
12/24/2015,"14,436.60","14,718.30","14,718.30","14,436.60",786.96K,-0.97%
12/23/2015,"14,577.50","14,718.30","14,929.60","14,577.50",831.24K,-0.96%
12/22/2015,"14,718.30","14,577.50","15,000.00","14,507.10",1.81M,0.97%
12/21/2015,"14,577.50","14,718.30","14,788.80","14,507.10",2.88M,-2.82%
12/18/2015,"15,000.00","14,859.20","15,140.90","14,859.20",1.63M,-0.93%
12/17/2015,"15,140.90","15,352.10","15,352.10","14,929.60",2.47M,4.37%
12/16/2015,"14,507.10","14,084.50","14,647.90","14,084.50",8.12M,3.00%
12/15/2015,"14,084.50","14,084.50","14,295.80","13,943.70",2.15M,0.00%
12/14/2015,"14,084.50","14,084.50","14,366.20","14,014.10",603.19K,-0.50%
12/11/2015,"14,154.90","14,225.40","14,366.20","14,154.90",1.18M,-0.99%
12/10/2015,"14,295.80","14,295.80","14,507.10","14,225.40",862.17K,-1.46%
12/09/2015,"14,507.10","14,929.60","14,929.60","14,507.10",398.97K,-1.90%
12/08/2015,"14,788.80","14,295.80","14,788.80","14,225.40",1.08M,2.44%
12/07/2015,"14,436.60","14,436.60","14,647.90","14,366.20",773.64K,-1.44%
12/04/2015,"14,647.90","14,859.20","14,929.60","14,647.90",730.04K,-2.35%
12/03/2015,"15,000.00","15,070.40","15,070.40","14,929.60",1.14M,0.47%
12/02/2015,"14,929.60","14,647.90","15,281.70","14,647.90",1.69M,2.42%
12/01/2015,"14,577.50","14,295.80","14,647.90","14,225.40",1.00M,1.47%
11/30/2015,"14,366.20","14,788.80","14,788.80","14,154.90",1.57M,-4.23%
11/27/2015,"15,000.00","15,281.70","15,281.70","14,929.60",1.30M,-1.39%
11/26/2015,"15,211.30","15,070.40","15,493.00","15,070.40",3.10M,-4.42%
11/25/2015,"15,915.50","15,985.90","16,197.20","15,774.70",565.59K,-1.31%
11/24/2015,"16,126.80","16,267.60","16,338.10","16,056.40",720.89K,-1.29%
11/23/2015,"16,338.10","16,408.50","16,549.30","16,338.10",607.52K,-1.28%
11/20/2015,"16,549.30","16,478.90","16,549.30","16,338.10",1.00M,0.43%
11/19/2015,"16,478.90","16,549.30","16,619.70","16,408.50",279.49K,0.00%
11/18/2015,"16,478.90","16,478.90","16,549.30","16,408.50",473.54K,0.00%
11/17/2015,"16,478.90","16,619.70","16,619.70","16,408.50",613.47K,-0.43%
11/16/2015,"16,549.30","16,619.70","16,690.20","16,408.50",257.45K,-0.84%
11/13/2015,"16,690.20","16,408.50","16,690.20","16,197.20",726.27K,1.72%
11/12/2015,"16,408.50","16,267.60","16,478.90","16,126.80",908.46K,0.87%
11/11/2015,"16,267.60","16,478.90","16,549.30","16,267.60",358.80K,-1.28%
11/10/2015,"16,478.90","16,690.20","16,690.20","16,408.50",811.12K,-1.27%
11/09/2015,"16,690.20","16,619.70","16,831.00","16,549.30",453.16K,0.42%
11/06/2015,"16,619.70","16,619.70","16,901.40","16,478.90",880.98K,0.00%
11/05/2015,"16,619.70","16,619.70","16,760.60","16,549.30",727.39K,-0.42%
11/04/2015,"16,690.20","16,901.40","17,042.30","16,690.20",950.43K,-1.25%
11/03/2015,"16,901.40","16,971.90","16,971.90","16,760.60",863.08K,-0.42%
11/02/2015,"16,971.90","16,901.40","17,183.10","16,901.40",1.08M,0.00%
10/30/2015,"16,971.90","16,971.90","17,112.70","16,901.40",559.35K,-0.41%
10/29/2015,"17,042.30","17,042.30","17,112.70","16,901.40",917.87K,0.83%
10/28/2015,"16,901.40","17,112.70","17,253.50","16,901.40",733.50K,-1.64%
10/27/2015,"17,183.10","17,183.10","17,324.00","17,112.70",955.27K,0.41%
10/26/2015,"17,112.70","17,394.40","17,394.40","17,112.70",935.45K,-1.22%
10/23/2015,"17,324.00","17,253.50","17,394.40","17,112.70",1.35M,2.07%
10/22/2015,"16,971.90","16,901.40","17,183.10","16,760.60",392.93K,0.42%
10/21/2015,"16,901.40","16,901.40","17,112.70","16,760.60",942.23K,0.00%
10/20/2015,"16,901.40","17,183.10","17,253.50","16,901.40",1.25M,-2.04%
10/19/2015,"17,253.50","17,253.50","17,324.00","17,112.70",741.80K,0.00%
10/16/2015,"17,253.50","17,183.10","17,394.40","17,112.70",1.33M,0.41%
10/15/2015,"17,183.10","17,253.50","17,394.40","17,042.30",1.55M,0.00%
10/14/2015,"17,183.10","17,324.00","17,324.00","17,112.70",976.19K,-0.81%
10/13/2015,"17,324.00","17,253.50","17,464.80","17,183.10",985.53K,0.41%
10/12/2015,"17,253.50","17,042.30","17,535.20","17,042.30",1.29M,0.41%
10/09/2015,"17,183.10","17,253.50","17,535.20","17,042.30",2.27M,0.83%
10/08/2015,"17,042.30","16,901.40","17,253.50","16,901.40",1.13M,0.83%
10/07/2015,"16,901.40","17,464.80","17,464.80","16,901.40",961.98K,-2.44%
10/06/2015,"17,324.00","16,901.40","17,394.40","16,901.40",2.25M,4.24%
10/05/2015,"16,619.70","16,478.90","16,690.20","16,408.50",628.30K,1.72%
10/02/2015,"16,338.10","16,549.30","16,549.30","16,338.10",726.07K,-1.28%
10/01/2015,"16,549.30","16,619.70","16,831.00","16,549.30",252.80K,-0.84%
09/30/2015,"16,690.20","16,549.30","16,831.00","16,549.30",755.10K,0.85%
09/29/2015,"16,549.30","16,338.10","16,619.70","16,267.60",1.67M,0.00%
09/28/2015,"16,549.30","16,901.40","16,901.40","16,549.30",1.04M,-2.08%
09/25/2015,"16,901.40","16,831.00","17,042.30","16,760.60",958.61K,0.42%
09/24/2015,"16,831.00","17,112.70","17,253.50","16,831.00",1.48M,-1.24%
09/23/2015,"17,042.30","16,971.90","17,112.70","16,760.60",2.93M,-1.63%
09/22/2015,"17,324.00","17,464.80","17,535.20","17,183.10",1.12M,-0.81%
09/21/2015,"17,464.80","17,253.50","17,605.70","16,901.40",958.18K,1.22%
09/18/2015,"17,253.50","16,267.60","17,464.80","16,267.60",8.70M,-1.21%
09/17/2015,"17,464.80","17,464.80","17,464.80","17,464.80",85.74K,-6.77%
09/16/2015,"18,732.40","18,732.40","18,732.40","18,732.40",164.21K,-6.67%
09/15/2015,"20,070.50","20,070.50","20,070.50","19,577.50",11.45M,6.74%
09/14/2015,"18,802.80","18,802.80","18,802.80","18,802.80",1.68M,6.80%
09/11/2015,"17,605.70","17,816.90","18,028.20","17,535.20",2.23M,-1.57%
09/10/2015,"17,887.30","17,816.90","18,239.50","17,746.50",2.39M,-1.55%
09/09/2015,"18,169.00","18,662.00","18,662.00","18,098.60",3.76M,1.57%
09/08/2015,"17,887.30","16,760.60","17,887.30","16,760.60",5.40M,6.72%
09/07/2015,"16,760.60","16,619.70","17,112.70","16,478.90",2.76M,3.48%
09/04/2015,"16,197.20","16,197.20","16,549.30","16,197.20",1.15M,-1.29%
09/03/2015,"16,408.50","16,619.70","16,619.70","16,126.80",2.05M,-1.27%
09/01/2015,"16,619.70","16,197.20","16,690.20","16,126.80",2.12M,1.72%
08/31/2015,"16,338.10","16,408.50","16,478.90","16,056.40",2.15M,-0.43%
08/28/2015,"16,408.50","15,915.50","16,408.50","15,845.10",3.13M,3.10%
08/27/2015,"15,915.50","15,704.20","15,985.90","15,563.40",3.19M,3.67%
08/26/2015,"15,352.10","14,366.20","15,352.10","14,366.20",2.34M,6.86%
08/25/2015,"14,366.20","13,380.30","14,507.10","13,380.30",2.93M,3.03%
08/24/2015,"13,943.70","14,929.60","14,929.60","13,943.70",4.83M,-6.60%
08/21/2015,"14,929.60","14,647.90","15,070.40","14,084.50",3.27M,-0.93%
