Date,Price,Open,High,Low,Vol.,Change %
07/13/2023,"75,800.00","75,800.00","75,800.00","75,400.00",1.25M,0.66%
07/12/2023,"75,300.00","75,000.00","75,700.00","74,900.00",904.90K,0.40%
07/11/2023,"75,000.00","75,300.00","75,400.00","75,000.00",1.09M,-0.40%
07/10/2023,"75,300.00","75,300.00","75,900.00","74,900.00",1.15M,0.00%
07/07/2023,"75,300.00","74,200.00","75,500.00","74,200.00",896.30K,0.94%
07/06/2023,"74,600.00","74,800.00","75,200.00","74,000.00",1.52M,-0.27%
07/05/2023,"74,800.00","75,100.00","76,500.00","74,800.00",1.79M,-14.02%
07/04/2023,"87,000.00","86,400.00","87,000.00","86,200.00",1.33M,0.69%
07/03/2023,"86,400.00","86,500.00","86,800.00","86,000.00",1.04M,0.47%
06/30/2023,"86,000.00","86,500.00","86,600.00","86,000.00",733.50K,-0.58%
06/29/2023,"86,500.00","87,000.00","87,100.00","86,500.00",562.40K,-0.57%
06/28/2023,"87,000.00","87,400.00","87,800.00","87,000.00",964.90K,-0.34%
06/27/2023,"87,300.00","86,000.00","87,300.00","86,000.00",1.54M,1.75%
06/26/2023,"85,800.00","85,100.00","85,800.00","84,600.00",859.40K,0.82%
06/23/2023,"85,100.00","85,600.00","85,600.00","84,800.00",822.00K,-0.47%
06/22/2023,"85,500.00","86,100.00","86,500.00","84,700.00",1.02M,-0.35%
06/21/2023,"85,800.00","85,500.00","86,400.00","85,400.00",705.80K,0.35%
06/20/2023,"85,500.00","85,000.00","85,800.00","84,700.00",944.50K,0.94%
06/19/2023,"84,700.00","84,700.00","85,500.00","84,500.00",663.20K,0.24%
06/16/2023,"84,500.00","84,100.00","86,200.00","83,400.00",2.23M,0.48%
06/15/2023,"84,100.00","84,200.00","84,400.00","83,600.00",798.60K,-0.12%
06/14/2023,"84,200.00","84,300.00","84,800.00","84,100.00",658.60K,-0.24%
06/13/2023,"84,400.00","84,400.00","84,900.00","84,300.00",466.80K,-0.59%
06/12/2023,"84,900.00","84,500.00","84,900.00","83,600.00",519.70K,0.35%
06/09/2023,"84,600.00","84,300.00","84,700.00","83,700.00",680.20K,1.20%
06/08/2023,"83,600.00","84,700.00","84,900.00","83,500.00",1.24M,-1.65%
06/07/2023,"85,000.00","85,000.00","85,400.00","84,300.00",705.80K,-0.35%
06/06/2023,"85,300.00","85,300.00","85,300.00","84,700.00",514.00K,0.35%
06/05/2023,"85,000.00","83,900.00","85,200.00","83,800.00",1.43M,1.43%
06/02/2023,"83,800.00","83,500.00","84,300.00","83,100.00",735.90K,0.36%
06/01/2023,"83,500.00","84,000.00","84,000.00","83,100.00",537.30K,-0.71%
05/31/2023,"84,100.00","84,200.00","84,200.00","83,100.00",839.40K,0.12%
05/30/2023,"84,000.00","83,000.00","84,900.00","82,900.00",1.66M,1.08%
